command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
0.5,0.0,0.0,0.5,0.0,0.0,0.565,-0.003,0.02,0.065,0.003,0.02,0.354,0.369,2.53,-8.3825,-1.75,0.010916,0.021833,0.681,0.6409,1.4011,4.495,0.412,4.513841933430988,0.158,0.0,0.158,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,1,10.0,2.0,False,True,False,-5.42,-7.54,-11.83,-8.74,True,True,True,True,True,True,False,True,True,True,,,0.7,0.65,0.53,0.57,43,40,34,34,True,True,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.415,-0.002,0.007,0.085,0.002,0.007,0.334,0.342,6.28,-6.835,3.11,0.006142,0.012284,0.5013,0.3328,1.2359,-3.317,-0.207,3.323452722696684,0.054,0.0,0.054,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,2,10.0,2.0,True,True,True,-6.11,-8.45,-8.09,-4.69,True,True,True,True,True,True,True,True,True,True,,,0.74,0.68,0.56,0.58,88,30,34,32,True,True,,,
0.0,0.3,0.0,0.0,0.3,0.0,0.042,0.269,-0.008,0.042,0.031,0.008,0.344,0.354,6.65,-7.442500000000001,7.26,0.003899,0.007798,0.284,0.2459,0.543,0.464,2.123,2.173114124936838,-0.061,0.0,-0.061,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,3,10.0,2.0,False,True,False,-6.71,-10.11,-8.81,-4.14,True,True,True,True,True,True,False,True,True,True,,,0.7,0.7,0.57,0.68,28,27,31,26,,True,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.071,-0.227,0.045,0.071,0.073,0.045,0.349,0.358,5.56,-6.702500000000001,5.99,0.004044,0.008089,0.2904,0.3927,0.9591,1.046,-1.564,1.8815451097435854,0.359,0.0,0.359,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,4,10.0,2.0,False,True,False,-9.99,-8.25,-3.22,-5.35,True,False,True,True,True,True,False,True,True,True,,,0.83,0.74,0.45,0.66,20,32,26,20,,True,False,,
0.0,0.0,0.5,0.0,0.0,0.5,0.03,0.001,0.466,0.03,0.001,0.034,0.332,0.343,6.61,-7.122499999999999,21.21,0.002252,0.004504,0.0788,0.0731,0.7631,-0.204,-0.002,0.20400980368599936,3.727,3.998,-0.271,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,5,10.0,2.0,True,True,True,-2.95,-17.71,-13.0,5.17,True,True,True,True,True,True,True,True,True,True,,,0.88,0.96,0.66,0.8,40,38,72,28,,True,,True,True
0.0,0.0,-0.5,0.0,0.0,-0.5,0.02,0.014,-0.373,0.02,0.014,0.127,0.34,0.352,7.32,-8.6775,8.71,0.001434,0.002869,0.06,0.0629,0.4137,-0.031,-0.19,0.1925123372669918,-2.985,-3.998,1.012,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,6,10.0,2.0,False,True,False,-11.38,-5.19,-5.05,-13.09,True,True,False,True,True,True,True,True,True,True,,,0.92,0.85,0.64,0.84,13,34,40,21,,True,,True,False
0.5,0.2,0.4,0.5,0.2,0.4,0.571,0.155,0.383,0.071,0.045,0.017,0.355,0.364,2.6,-8.44,1.07,0.009762,0.019525,0.7064,0.6385,1.3787,-2.516,1.769,3.0756490371952387,3.065,3.198,-0.133,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,7,10.0,2.0,False,True,False,-7.51,-7.44,-10.7,-8.11,True,True,True,True,True,True,False,True,True,True,,,0.7,0.54,0.53,0.58,47,35,32,33,,True,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.429,-0.166,-0.357,0.071,0.034,0.043,0.334,0.347,6.23,-8.04,2.11,0.006911,0.013821,0.5463,0.4672,1.0573,0.425,2.499,2.534881851290115,-2.853,-3.198,0.345,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,8,10.0,2.0,True,True,True,-8.26,-7.14,-8.32,-8.44,True,True,True,True,True,True,True,True,True,True,,,0.7,0.66,0.47,0.62,35,60,29,35,,True,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.001,-0.0,-0.003,0.001,0.0,0.003,0.334,0.337,3.97,-0.23499999999999988,7.67,0.000456,0.000913,0.0072,0.0,0.0,0.007,-0.0,0.007,-0.021,0.0,-0.021,0,1600,0.0,0,0,1600,0.0,0,new14900,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14900,0,10.0,2.0,False,True,False,5.81,-4.6,-8.45,6.3,True,True,True,True,True,True,True,True,True,True,False,False,1.0,1.0,0.0,1.0,0,0,0,0,,,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.525,-0.025,0.04,0.025,0.025,0.04,0.366,0.375,2.47,-8.3275,-3.07,0.008245,0.016489,0.633,0.5804,1.2388,4.134,0.636,4.182636967273158,0.319,0.0,0.319,0,1600,0.0,0,0,1600,0.0,0,new14900,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14900,1,10.0,2.0,False,True,False,-10.21,-5.93,-10.0,-7.17,True,True,True,True,True,True,False,True,True,True,,,0.75,0.56,0.5,0.58,36,34,30,32,True,True,,,
