command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,-0.004,0.003,0.001,0.004,0.319,0.327,4.99,-0.6949999999999998,16.59,0.000308,0.000616,0.0108,0.0696,0.1392,0.026,0.004,0.02630589287593181,-0.033,0.0,-0.033,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,0,10.0,2.0,False,True,False,-8.84,-3.78,-2.11,11.95,True,True,True,True,True,True,True,True,True,False,True,False,0.95,1.0,1.0,1.0,4,0,0,0,,,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.467,-0.005,-0.047,0.033,0.005,0.047,0.334,0.348,4.56,-7.415,1.29,0.008171,0.016342,0.5407,0.4149,1.0795,3.595,-0.92,3.7108523279699503,-0.373,0.0,-0.373,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,1,10.0,2.0,True,True,True,-11.55,-5.43,-7.97,-4.71,True,True,True,True,True,True,True,True,True,True,,,0.7,0.66,0.65,0.6,30,30,45,32,True,True,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.428,0.012,-0.013,0.072,0.012,0.013,0.303,0.317,3.15,-9.352500000000001,-1.79,0.007212,0.014424,0.4985,0.1033,1.3854,-3.384,0.49,3.4192917395273543,-0.102,0.0,-0.102,0,1600,0.0,0,19,1600,0.011875,1,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,2,10.0,2.0,False,True,False,-12.74,-10.89,-6.84,-6.94,True,True,True,True,True,True,True,True,False,True,,,0.73,0.72,0.72,0.73,119,135,165,149,True,True,,,
0.0,0.3,0.0,0.0,0.3,0.0,-0.021,0.18,0.011,0.021,0.12,0.011,0.323,0.331,5.25,-6.865,9.52,0.003837,0.007674,0.2031,0.0613,0.7564,-0.221,1.43,1.446976502919104,0.088,0.0,0.088,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,3,10.0,2.0,False,True,False,-8.39,-5.87,-2.26,-10.94,True,False,True,True,True,True,True,True,True,True,,,0.8,0.8,0.8,0.88,50,64,328,46,,True,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.003,-0.215,-0.013,0.003,0.085,0.013,0.322,0.336,8.15,-6.472499999999999,12.3,0.00471,0.00942,0.2444,0.0939,1.1593,-0.142,-1.713,1.718875504508689,-0.104,0.0,-0.104,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,4,10.0,2.0,False,True,False,-8.94,-7.28,-7.95,-1.72,True,False,True,True,True,True,True,True,True,True,,,0.76,0.76,0.76,0.81,38,190,56,132,,True,True,,
0.0,0.0,0.5,0.0,0.0,0.5,-0.034,0.01,0.484,0.034,0.01,0.016,0.252,0.328,17.22,-9.4,21.67,0.005982,0.011963,0.1065,0.1382,3.4333,-0.001,0.05,0.05000999900019995,3.872,3.998,-0.125,0,1600,0.0,0,55,1600,0.04125,3,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,5,10.0,2.0,False,True,False,-2.52,-15.08,-19.12,-0.88,True,True,True,True,False,True,True,True,False,True,,,0.81,0.89,0.94,0.87,57,82,64,70,,True,,True,True
0.0,0.0,-0.5,0.0,0.0,-0.5,-0.018,0.001,-0.446,0.018,0.001,0.054,0.311,0.325,4.93,-10.967500000000001,12.97,0.002761,0.005522,0.0615,0.0459,1.4372,0.083,0.081,0.11597413504743202,-3.566,-3.998,0.431,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,6,10.0,2.0,False,True,False,-18.99,-0.62,-1.23,-23.03,True,True,True,True,True,True,True,True,True,True,,,0.95,0.91,0.82,0.93,46,120,206,30,,True,,True,False
0.5,0.2,0.4,0.5,0.2,0.4,0.456,0.157,0.341,0.044,0.043,0.059,0.325,0.341,6.05,-7.35,5.66,0.011375,0.02275,0.538,0.4095,1.1658,-1.928,1.97,2.756462225389639,2.728,3.198,-0.47,0,1600,0.0,0,6,1600,0.00375,1,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,7,10.0,2.0,True,True,True,-13.29,-5.79,-6.07,-4.25,True,True,True,True,True,True,True,True,True,True,,,0.66,0.62,0.69,0.71,29,31,80,29,,True,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.437,-0.132,-0.427,0.063,0.068,0.027,0.305,0.325,5.15,-8.17,-0.2,0.00749,0.014979,0.5228,0.0945,1.2102,1.28,1.652,2.0898574114039454,-3.414,-3.198,-0.216,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,8,10.0,2.0,True,True,True,-10.94,-9.54,-5.49,-6.71,True,True,True,True,True,True,True,True,True,True,,,0.69,0.76,0.65,0.8,52,316,119,192,,True,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.002,-0.0,0.001,0.002,0.0,0.001,0.345,0.346,6.0,-0.8700000000000001,8.51,0.000446,0.000891,0.0044,0.0,0.0,0.013,-0.002,0.013152946437965905,0.009,0.0,0.009,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,0,10.0,2.0,False,True,False,5.4,-5.8,-11.49,8.41,True,True,True,True,True,True,True,True,True,True,False,False,1.0,1.0,0.0,1.0,0,0,0,0,,,,,
