command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
0.0,0.0,0.0,0.0,0.0,0.0,-0.001,-0.001,0.008,0.001,0.001,0.008,0.32,0.326,3.58,1.19,13.76,0.000223,0.000446,0.0073,1.1653,1.1653,-0.004,-0.01,0.010770329614269008,0.067,0.0,0.067,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,0,10.0,2.0,False,True,False,0.42,-3.11,-3.91,11.36,True,True,True,True,True,True,True,True,True,False,True,False,1.0,1.0,1.0,1.0,0,0,0,2,,,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.463,-0.005,-0.043,0.037,0.005,0.043,0.342,0.357,4.4,-7.217499999999999,3.97,0.008658,0.017316,0.5387,0.4213,1.3323,3.578,-0.88,3.684628068068743,-0.345,0.0,-0.345,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,1,10.0,2.0,False,True,False,-11.29,-4.92,-8.37,-4.29,True,True,True,True,True,True,False,True,True,True,,,0.7,0.65,0.63,0.6,33,37,45,25,True,True,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.426,0.01,-0.017,0.074,0.01,0.017,0.309,0.329,4.16,-9.1925,0.05,0.008214,0.016429,0.4994,0.1166,1.5589,-3.389,0.364,3.4084918952522094,-0.137,0.0,-0.137,0,1600,0.0,0,106,1600,0.070625,2,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,2,10.0,2.0,False,True,False,-12.33,-11.48,-6.55,-6.41,True,True,True,True,True,True,True,True,False,True,,,0.71,0.71,0.72,0.74,102,115,135,156,True,True,,,
0.0,0.3,0.0,0.0,0.3,0.0,-0.002,0.143,-0.043,0.002,0.157,0.043,0.325,0.338,5.25,-6.6,8.09,0.003245,0.006491,0.1791,0.0689,1.2297,0.068,1.133,1.135038765857801,-0.342,0.0,-0.342,0,1600,0.0,0,171,1600,0.110625,2,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,3,10.0,2.0,False,True,False,-7.36,-8.29,-2.22,-8.53,True,False,True,True,True,True,True,True,False,True,,,0.86,0.84,0.84,0.72,64,58,264,55,,True,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.026,-0.156,0.006,0.026,0.144,0.006,0.323,0.342,7.02,-4.86,15.58,0.005327,0.010654,0.2265,0.1138,1.3203,0.262,-1.234,1.2615070352558482,0.05,0.0,0.05,0,1600,0.0,0,42,1600,0.026875,2,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,4,10.0,2.0,False,True,False,-10.58,-1.0,-4.56,-3.3,True,False,True,True,True,True,True,True,False,True,,,0.8,0.84,0.57,0.83,40,187,65,76,,True,True,,
0.0,0.0,0.5,0.0,0.0,0.5,-0.029,-0.025,0.485,0.029,0.025,0.015,0.304,0.327,12.97,-9.7175,14.73,0.003081,0.006163,0.082,0.0596,1.0872,0.119,0.047,0.12794530081249564,3.875,3.998,-0.123,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,5,10.0,2.0,False,True,False,-0.15,-16.05,-20.74,-1.93,True,True,True,True,False,True,True,True,True,True,,,0.85,0.84,0.93,0.89,88,34,72,134,,True,,True,True
0.0,0.0,-0.5,0.0,0.0,-0.5,-0.014,-0.003,-0.457,0.014,0.003,0.043,0.319,0.332,4.5,-10.857499999999998,9.21,0.002407,0.004814,0.0648,0.035,0.5991,0.134,0.074,0.15307514494521965,-3.656,-3.998,0.342,0,1600,0.0,0,0,1600,0.0,0,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,6,10.0,2.0,True,True,True,-18.77,-1.99,-1.52,-21.15,True,True,True,True,True,True,True,True,True,True,,,0.97,0.88,0.85,0.93,56,152,102,36,,True,,True,True
0.5,0.2,0.4,0.5,0.2,0.4,0.457,0.158,0.343,0.043,0.042,0.057,0.326,0.343,6.39,-7.159999999999999,7.52,0.010722,0.021444,0.5486,0.3996,1.9698,-2.074,1.862,2.7872064867892368,2.739,3.198,-0.459,0,1600,0.0,0,37,1600,0.023125,1,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,7,10.0,2.0,False,True,False,-12.79,-5.09,-6.42,-4.34,True,True,True,True,True,True,True,True,False,True,,,0.69,0.58,0.67,0.71,33,35,97,39,,True,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.424,-0.128,-0.418,0.076,0.072,0.018,0.301,0.327,6.49,-8.445,4.7,0.008797,0.017594,0.522,0.1191,2.1048,1.288,1.752,2.1744994826396256,-3.342,-3.198,-0.144,0,1600,0.0,0,153,1600,0.095625,1,old12000,/home/hsc/Dog_RL/custom_dog_stack/deploy/candidates/himloco_model_12000,8,10.0,2.0,False,True,False,-11.07,-8.65,-6.17,-7.89,True,False,True,True,True,True,True,True,False,True,,,0.68,0.77,0.59,0.77,70,276,129,142,,True,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.004,-0.002,-0.0,0.004,0.002,0.0,0.343,0.352,4.77,-4.615,11.02,0.000493,0.000987,0.0114,0.0294,0.0989,0.029,-0.014,0.03220248437620924,-0.002,0.0,-0.002,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,0,10.0,2.0,False,True,False,3.33,-3.92,-11.24,-6.63,True,True,True,True,True,True,True,True,True,True,False,False,1.0,1.0,0.58,0.97,6,0,2,4,,,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.557,-0.011,0.017,0.057,0.011,0.017,0.368,0.384,4.3,-8.035,2.43,0.011834,0.023669,0.6849,0.6177,1.7276,4.43,0.399,4.447932216210134,0.135,0.0,0.135,0,1600,0.0,0,23,1600,0.014375,1,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,1,10.0,2.0,False,True,False,-5.05,-7.06,-11.33,-8.7,True,True,True,True,True,True,False,True,False,True,,,0.68,0.65,0.53,0.57,55,46,46,38,True,True,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.401,-0.001,0.009,0.099,0.001,0.009,0.338,0.356,7.52,-6.6274999999999995,3.5,0.006638,0.013276,0.4898,0.2506,1.3057,-3.209,-0.192,3.214738714110371,0.068,0.0,0.068,0,1600,0.0,0,28,1600,0.021875,2,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,2,10.0,2.0,False,True,False,-5.77,-8.92,-7.8,-4.02,True,True,True,True,True,True,False,True,False,True,,,0.72,0.67,0.57,0.61,130,52,37,47,True,True,,,
0.0,0.3,0.0,0.0,0.3,0.0,0.05,0.238,-0.017,0.05,0.062,0.017,0.35,0.363,8.73,-7.0625,12.09,0.005524,0.011048,0.2812,0.2047,1.141,0.529,1.871,1.9443461625955394,-0.135,0.0,-0.135,0,1600,0.0,0,47,1600,0.030625,2,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,3,10.0,2.0,False,True,False,-6.06,-10.6,-7.96,-3.63,True,True,True,True,True,True,False,True,False,True,,,0.68,0.78,0.66,0.62,119,35,37,46,,True,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.078,-0.229,0.047,0.078,0.071,0.047,0.367,0.385,8.21,-6.130000000000001,8.23,0.004519,0.009037,0.2974,0.2496,1.5777,1.168,-1.516,1.9137606955938875,0.372,0.0,0.372,0,1600,0.0,0,0,1600,0.0,0,new14100,/tmp/himloco_terrain_refine_eval.WsuKvN/model_14100,4,10.0,2.0,False,True,False,-8.99,-6.98,-3.2,-5.35,True,False,True,True,True,True,False,True,True,True,,,0.82,0.76,0.47,0.66,36,86,24,30,,True,False,,
