command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
0.5,0.0,0.0,0.5,0.0,0.0,0.501,-0.008,-0.01,0.001,0.008,0.01,0.342,0.354,4.8,-7.174999999999999,7.71,0.012902,0.025803,0.5976,0.7534,2.0643,4.0,-0.188,4.004415562850589,-0.082,0.0,-0.082,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,0,10.0,2.0,False,True,False,-7.95,-4.84,-8.08,-7.83,True,True,True,True,True,True,False,True,True,True,True,True,0.69,0.71,0.51,0.56,41,36,45,31,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.388,-0.016,-0.004,0.112,0.016,0.004,0.304,0.318,5.03,-12.045000000000002,-4.91,0.007284,0.014569,0.464,0.1188,1.2558,-3.098,-0.15,3.1016292492817383,-0.033,0.0,-0.033,0,1600,0.0,0,207,1600,0.133125,2,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,1,10.0,2.0,False,True,False,-16.17,-13.81,-7.67,-10.53,False,True,True,True,True,True,True,True,False,True,True,True,0.72,0.73,0.77,0.61,187,73,113,123,,,
0.0,0.3,0.0,0.0,0.3,0.0,0.05,0.213,-0.029,0.05,0.087,0.029,0.315,0.337,6.26,-8.4525,13.61,0.005496,0.010992,0.2647,0.1072,1.7496,0.576,1.651,1.7485928628471523,-0.234,0.0,-0.234,0,1600,0.0,0,14,1600,0.00875,1,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,2,10.0,2.0,False,True,False,-9.52,-13.21,-4.84,-6.24,True,False,True,True,True,True,True,True,True,True,,True,0.77,0.82,0.71,0.52,262,60,120,33,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.049,-0.249,0.001,0.049,0.051,0.001,0.319,0.34,6.96,-10.0775,8.0,0.004952,0.009904,0.2726,0.1465,1.4471,0.474,-1.971,2.0271943666062215,0.007,0.0,0.007,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,3,10.0,2.0,True,True,True,-13.74,-10.52,-7.82,-8.23,True,True,True,True,True,True,True,True,True,True,,True,0.69,0.74,0.62,0.64,63,180,32,83,True,,
0.0,0.0,0.5,0.0,0.0,0.5,0.025,-0.002,0.436,0.025,0.002,0.064,0.312,0.321,5.75,-12.495,8.4,0.001842,0.003684,0.0547,0.0441,0.4908,-0.043,0.091,0.10064790112068904,3.484,3.998,-0.513,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,4,10.0,2.0,False,True,False,-8.52,-19.13,-17.61,-4.72,True,True,True,True,True,True,True,True,True,True,,True,0.92,0.97,0.84,0.83,58,36,29,80,,True,False
0.0,0.0,-0.5,0.0,0.0,-0.5,-0.006,-0.023,-0.472,0.006,0.023,0.028,0.317,0.332,5.9,-11.285,11.54,0.002216,0.004432,0.0629,0.0631,0.6458,-0.049,0.097,0.10867382389517727,-3.774,-3.998,0.223,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,5,10.0,2.0,True,True,True,-22.3,-4.35,-3.4,-15.09,True,True,True,True,True,True,True,True,True,True,,True,0.94,0.87,0.92,0.86,70,75,113,34,,True,True
0.5,0.2,0.4,0.5,0.2,0.4,0.513,0.165,0.383,0.013,0.035,0.017,0.331,0.348,5.25,-7.1275,9.02,0.013347,0.026695,0.6319,0.7536,2.2817,-2.478,1.409,2.8505727494663247,3.065,3.198,-0.133,0,1600,0.0,0,40,1600,0.025,1,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,6,10.0,2.0,False,True,False,-10.05,-4.68,-7.01,-6.77,True,True,True,True,True,True,False,True,False,True,,True,0.63,0.63,0.53,0.54,41,39,38,33,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.402,-0.161,-0.395,0.098,0.039,0.005,0.314,0.328,6.55,-11.5975,1.94,0.007979,0.015958,0.4983,0.1306,1.3034,0.881,1.931,2.122480153028527,-3.159,-3.198,0.039,0,1600,0.0,0,90,1600,0.056875,2,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,7,10.0,2.0,False,True,False,-15.29,-10.21,-9.28,-11.61,True,True,True,True,True,True,True,True,False,True,,True,0.66,0.74,0.65,0.75,70,152,133,138,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.463,-0.005,-0.043,0.037,0.005,0.043,0.342,0.357,4.4,-7.217499999999999,3.97,0.008658,0.017316,0.5387,0.4213,1.3323,3.578,-0.88,3.684628068068743,-0.345,0.0,-0.345,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,0,10.0,2.0,False,True,False,-11.29,-4.92,-8.37,-4.29,True,True,True,True,True,True,False,True,True,True,True,True,0.7,0.65,0.63,0.6,33,37,45,25,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.426,0.01,-0.017,0.074,0.01,0.017,0.309,0.329,4.16,-9.1925,0.05,0.008214,0.016429,0.4994,0.1166,1.5589,-3.389,0.364,3.4084918952522094,-0.137,0.0,-0.137,0,1600,0.0,0,106,1600,0.070625,2,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,1,10.0,2.0,False,True,False,-12.33,-11.48,-6.55,-6.41,True,True,True,True,True,True,True,True,False,True,True,True,0.71,0.71,0.72,0.74,102,115,135,156,,,
