command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
0.5,0.0,0.0,0.5,0.0,0.0,0.508,-0.01,0.002,0.008,0.01,0.002,0.337,0.348,4.13,-7.409999999999999,8.84,0.011574,0.023149,0.5958,0.7054,1.5149,4.056,-0.16,4.0591545917838605,0.016,0.0,0.016,0,1600,0.0,0,8,1600,0.005,1,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,0,10.0,2.0,True,True,True,-8.41,-4.7,-8.62,-7.91,True,True,True,True,True,True,True,True,True,True,True,True,0.69,0.71,0.48,0.58,40,41,40,30,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.4,-0.029,0.003,0.1,0.029,0.003,0.305,0.316,3.56,-12.3225,-4.9,0.007155,0.014309,0.4683,0.1119,1.0832,-3.192,-0.292,3.2053280643328854,0.026,0.0,0.026,0,1600,0.0,0,44,1600,0.0275,1,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,1,10.0,2.0,False,True,False,-16.24,-14.01,-8.17,-10.87,True,True,True,True,True,True,True,True,False,True,True,True,0.75,0.71,0.77,0.65,203,60,106,74,,,
0.0,0.3,0.0,0.0,0.3,0.0,0.042,0.217,-0.016,0.042,0.083,0.016,0.321,0.333,4.45,-8.514999999999999,11.03,0.004637,0.009273,0.2472,0.0861,1.0062,0.569,1.674,1.7680602365304185,-0.129,0.0,-0.129,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,2,10.0,2.0,False,True,False,-10.22,-12.75,-4.38,-6.71,True,False,True,True,True,True,True,True,True,True,,True,0.78,0.78,0.75,0.57,224,32,152,25,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.049,-0.25,-0.003,0.049,0.05,0.003,0.315,0.335,6.2,-9.705,6.17,0.004669,0.009338,0.2707,0.1546,1.1421,0.299,-2.018,2.040030637024846,-0.028,0.0,-0.028,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,3,10.0,2.0,True,True,True,-12.8,-10.13,-8.15,-7.74,True,True,True,True,True,True,True,True,True,True,,True,0.65,0.73,0.59,0.66,34,158,26,100,True,,
0.0,0.0,0.5,0.0,0.0,0.5,0.021,-0.003,0.438,0.021,0.003,0.062,0.315,0.322,5.96,-11.2025,9.1,0.001877,0.003753,0.0611,0.0379,0.4344,-0.031,0.053,0.061400325732035,3.5,3.998,-0.498,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,4,10.0,2.0,False,True,False,-8.39,-17.98,-16.88,-1.56,True,True,True,True,True,True,True,True,True,True,,True,0.93,0.96,0.85,0.87,88,42,30,90,,True,False
0.0,0.0,-0.5,0.0,0.0,-0.5,-0.005,-0.034,-0.479,0.005,0.034,0.021,0.307,0.328,7.84,-11.815000000000001,11.81,0.00307,0.00614,0.0798,0.0869,1.2064,-0.052,0.125,0.13538463723776048,-3.83,-3.998,0.168,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,5,10.0,2.0,True,True,True,-23.27,-3.78,-2.43,-17.78,True,True,True,True,True,True,True,True,True,True,,True,0.92,0.86,0.92,0.91,69,56,106,46,,True,True
0.5,0.2,0.4,0.5,0.2,0.4,0.512,0.165,0.392,0.012,0.035,0.008,0.331,0.344,3.2,-7.1975,7.51,0.012559,0.025118,0.6217,0.7635,1.7062,-2.435,1.278,2.7500016363631494,3.137,3.198,-0.061,0,1600,0.0,0,7,1600,0.004375,1,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,6,10.0,2.0,True,True,True,-10.55,-4.79,-6.66,-6.79,True,True,True,True,True,True,True,True,True,True,,True,0.65,0.57,0.51,0.59,30,36,30,32,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.407,-0.168,-0.401,0.093,0.032,0.001,0.3,0.321,5.01,-11.559999999999999,0.79,0.007128,0.014256,0.4987,0.1301,1.3803,0.986,1.965,2.1985042642669583,-3.208,-3.198,-0.01,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,7,10.0,2.0,True,True,True,-14.73,-10.18,-9.24,-12.09,True,True,True,True,True,True,True,True,True,True,,True,0.66,0.77,0.68,0.74,64,178,99,83,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.467,-0.005,-0.047,0.033,0.005,0.047,0.334,0.348,4.56,-7.415,1.29,0.008171,0.016342,0.5407,0.4149,1.0795,3.595,-0.92,3.7108523279699503,-0.373,0.0,-0.373,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,0,10.0,2.0,True,True,True,-11.55,-5.43,-7.97,-4.71,True,True,True,True,True,True,True,True,True,True,True,True,0.7,0.66,0.65,0.6,30,30,45,32,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.428,0.012,-0.013,0.072,0.012,0.013,0.303,0.317,3.15,-9.352500000000001,-1.79,0.007212,0.014424,0.4985,0.1033,1.3854,-3.384,0.49,3.4192917395273543,-0.102,0.0,-0.102,0,1600,0.0,0,19,1600,0.011875,1,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,1,10.0,2.0,False,True,False,-12.74,-10.89,-6.84,-6.94,True,True,True,True,True,True,True,True,False,True,True,True,0.73,0.72,0.72,0.73,119,135,165,149,,,
0.0,0.3,0.0,0.0,0.3,0.0,-0.021,0.18,0.011,0.021,0.12,0.011,0.323,0.331,5.25,-6.865,9.52,0.003837,0.007674,0.2031,0.0613,0.7564,-0.221,1.43,1.446976502919104,0.088,0.0,0.088,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,2,10.0,2.0,False,True,False,-8.39,-5.87,-2.26,-10.94,True,False,True,True,True,True,True,True,True,True,,True,0.8,0.8,0.8,0.88,50,64,328,46,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.003,-0.215,-0.013,0.003,0.085,0.013,0.322,0.336,8.15,-6.472499999999999,12.3,0.00471,0.00942,0.2444,0.0939,1.1593,-0.142,-1.713,1.718875504508689,-0.104,0.0,-0.104,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,3,10.0,2.0,False,True,False,-8.94,-7.28,-7.95,-1.72,True,False,True,True,True,True,True,True,True,True,,True,0.76,0.76,0.76,0.81,38,190,56,132,True,,
0.0,0.0,0.5,0.0,0.0,0.5,-0.034,0.01,0.484,0.034,0.01,0.016,0.252,0.328,17.22,-9.4,21.67,0.005982,0.011963,0.1065,0.1382,3.4333,-0.001,0.05,0.05000999900019995,3.872,3.998,-0.125,0,1600,0.0,0,55,1600,0.04125,3,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,4,10.0,2.0,False,True,False,-2.52,-15.08,-19.12,-0.88,True,True,True,True,False,True,True,True,False,True,,True,0.81,0.89,0.94,0.87,57,82,64,70,,True,True
0.0,0.0,-0.5,0.0,0.0,-0.5,-0.018,0.001,-0.446,0.018,0.001,0.054,0.311,0.325,4.93,-10.967500000000001,12.97,0.002761,0.005522,0.0615,0.0459,1.4372,0.083,0.081,0.11597413504743202,-3.566,-3.998,0.431,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,5,10.0,2.0,False,True,False,-18.99,-0.62,-1.23,-23.03,True,True,True,True,True,True,True,True,True,True,,True,0.95,0.91,0.82,0.93,46,120,206,30,,True,False
0.5,0.2,0.4,0.5,0.2,0.4,0.456,0.157,0.341,0.044,0.043,0.059,0.325,0.341,6.05,-7.35,5.66,0.011375,0.02275,0.538,0.4095,1.1658,-1.928,1.97,2.756462225389639,2.728,3.198,-0.47,0,1600,0.0,0,6,1600,0.00375,1,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,6,10.0,2.0,True,True,True,-13.29,-5.79,-6.07,-4.25,True,True,True,True,True,True,True,True,True,True,,True,0.66,0.62,0.69,0.71,29,31,80,29,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.437,-0.132,-0.427,0.063,0.068,0.027,0.305,0.325,5.15,-8.17,-0.2,0.00749,0.014979,0.5228,0.0945,1.2102,1.28,1.652,2.0898574114039454,-3.414,-3.198,-0.216,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,7,10.0,2.0,True,True,True,-10.94,-9.54,-5.49,-6.71,True,True,True,True,True,True,True,True,True,True,,True,0.69,0.76,0.65,0.8,52,316,119,192,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.469,0.03,-0.019,0.031,0.03,0.019,0.334,0.344,3.97,-8.225,2.03,0.011004,0.022008,0.5548,0.5043,1.4847,3.756,-0.003,3.756001198082876,-0.155,0.0,-0.155,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,0,10.0,2.0,True,True,True,-13.15,-11.56,-5.66,-2.53,True,True,True,True,True,True,True,True,True,True,True,True,0.6,0.65,0.72,0.61,32,32,74,36,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.435,-0.011,0.003,0.065,0.011,0.003,0.304,0.315,6.52,-9.9625,4.74,0.007797,0.015595,0.5133,0.0759,0.9451,-3.479,-0.118,3.4810005745474966,0.028,0.0,0.028,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,1,10.0,2.0,True,True,True,-15.25,-12.91,-7.57,-4.12,True,True,True,True,True,True,True,True,True,True,True,True,0.7,0.79,0.77,0.74,170,198,172,207,,,
0.0,0.3,0.0,0.0,0.3,0.0,-0.026,0.171,0.035,0.026,0.129,0.035,0.317,0.325,8.71,-7.779999999999999,19.86,0.004108,0.008217,0.2074,0.06,0.823,-0.373,1.316,1.367839537372714,0.276,0.0,0.276,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,2,10.0,2.0,False,True,False,-7.72,-15.34,1.95,-10.01,True,False,True,True,True,True,True,True,True,True,,True,0.82,0.77,0.85,0.84,42,123,328,34,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.022,-0.2,0.018,0.022,0.1,0.018,0.316,0.33,4.68,-6.7675,11.28,0.003947,0.007894,0.2271,0.0966,1.191,0.371,-1.568,1.6112929590859635,0.146,0.0,0.146,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,3,10.0,2.0,False,True,False,-12.22,-3.23,-7.74,-3.88,True,False,True,True,True,True,True,True,True,True,,True,0.8,0.85,0.73,0.75,53,156,40,183,True,,
0.0,0.0,0.5,0.0,0.0,0.5,-0.028,0.05,0.469,0.028,0.05,0.031,0.308,0.326,16.14,-13.035,15.97,0.005665,0.011329,0.1295,0.1536,1.3216,-0.174,-0.043,0.17923448328934918,3.747,3.998,-0.25,0,1600,0.0,0,36,1600,0.0225,1,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,4,10.0,2.0,False,True,False,-12.43,-20.13,-20.3,0.72,True,True,True,True,False,True,True,True,False,True,,True,0.76,0.94,0.92,0.92,25,80,38,96,,True,True
0.0,0.0,-0.5,0.0,0.0,-0.5,-0.02,-0.01,-0.441,0.02,0.01,0.059,0.309,0.328,7.83,-10.459999999999999,14.65,0.002507,0.005015,0.0631,0.051,1.1432,0.089,0.128,0.15590060936378664,-3.529,-3.998,0.469,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,5,10.0,2.0,False,True,False,-18.9,-2.47,-1.95,-18.52,True,True,True,True,True,True,True,True,True,True,,True,0.94,0.93,0.89,0.9,78,84,193,48,,True,False
0.5,0.2,0.4,0.5,0.2,0.4,0.487,0.198,0.375,0.013,0.002,0.025,0.324,0.341,5.02,-7.932499999999999,5.54,0.011659,0.023318,0.6181,0.3481,1.4779,-2.472,1.334,2.808974901988268,2.997,3.198,-0.201,0,1600,0.0,0,9,1600,0.005625,1,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,6,10.0,2.0,True,True,True,-15.45,-9.13,-5.38,-1.77,True,True,True,True,True,True,True,True,True,True,,True,0.64,0.56,0.69,0.61,33,34,180,31,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.446,-0.143,-0.383,0.054,0.057,0.017,0.299,0.311,5.05,-8.565,3.17,0.008459,0.016918,0.5514,0.0914,1.4213,1.107,2.194,2.4574549843282987,-3.062,-3.198,0.136,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,7,10.0,2.0,True,True,True,-13.11,-10.87,-7.13,-3.15,True,True,True,True,True,True,True,True,True,True,,True,0.68,0.79,0.73,0.81,106,256,108,328,,,
