command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
0.0,0.3,0.0,0.0,0.3,0.0,-0.021,0.18,0.007,0.021,0.12,0.007,0.318,0.323,4.46,-7.125,5.75,0.00419,0.008379,0.2004,0.0605,0.5872,-0.21,1.434,1.449295001026361,0.057,0.0,0.057,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,2,10.0,2.0,False,True,False,-8.57,-6.14,-2.57,-11.22,True,False,True,True,True,True,True,True,True,True,,True,0.81,0.81,0.79,0.89,37,46,366,35,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.004,-0.214,-0.03,0.004,0.086,0.03,0.32,0.327,5.02,-5.525,11.65,0.003791,0.007582,0.2377,0.0608,0.9813,-0.256,-1.684,1.7033472928325568,-0.237,0.0,-0.237,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,3,10.0,2.0,False,True,False,-8.57,-5.93,-7.34,-0.26,True,False,True,True,True,True,True,True,True,True,,True,0.75,0.78,0.8,0.82,34,270,47,192,True,,
0.0,0.0,0.5,0.0,0.0,0.5,-0.004,-0.017,0.463,0.004,0.017,0.037,0.308,0.321,5.19,-8.9825,9.99,0.002048,0.004095,0.065,0.0424,0.404,0.024,0.022,0.032557641192199414,3.701,3.998,-0.297,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,4,10.0,2.0,True,True,True,-1.92,-14.53,-18.81,-0.67,True,True,True,True,True,True,True,True,True,True,,True,0.83,0.93,0.94,0.91,77,46,54,119,,True,True
0.0,0.0,-0.5,0.0,0.0,-0.5,-0.012,0.014,-0.452,0.012,0.014,0.048,0.31,0.321,4.21,-10.9975,11.76,0.002336,0.004672,0.06,0.0363,0.7348,-0.011,-0.018,0.021095023109728984,-3.612,-3.998,0.385,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,5,10.0,2.0,True,True,True,-17.92,0.15,-2.14,-24.08,True,True,True,True,True,True,True,True,True,True,,True,0.96,0.91,0.8,0.94,44,98,112,66,,True,True
0.5,0.2,0.4,0.5,0.2,0.4,0.451,0.161,0.34,0.049,0.039,0.06,0.325,0.335,5.2,-7.2524999999999995,6.36,0.01076,0.021521,0.5353,0.4483,1.0593,-2.01,1.883,2.7542311086762488,2.716,3.198,-0.482,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,6,10.0,2.0,True,True,True,-13.61,-5.45,-6.03,-3.92,True,True,True,True,True,True,True,True,True,True,,True,0.66,0.59,0.69,0.74,25,29,83,25,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.436,-0.133,-0.428,0.064,0.067,0.028,0.303,0.313,5.22,-8.0125,1.49,0.007186,0.014371,0.5221,0.0897,1.33,1.338,1.602,2.087258489023341,-3.424,-3.198,-0.226,0,1600,0.0,0,0,1600,0.0,0,m12000,/tmp/himloco_mujoco_eval2.o7gEd5/model_12000,7,10.0,2.0,True,True,True,-11.09,-8.68,-5.17,-7.11,True,True,True,True,True,True,True,True,True,True,,True,0.69,0.76,0.64,0.81,48,352,118,190,,,
0.5,0.0,0.0,0.5,0.0,0.0,0.479,0.035,-0.022,0.021,0.035,0.022,0.33,0.338,3.66,-8.235,1.1,0.010413,0.020826,0.5661,0.4868,1.2147,3.832,-0.222,3.838425197916458,-0.174,0.0,-0.174,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,0,10.0,2.0,True,True,True,-13.73,-11.2,-5.97,-2.04,True,True,True,True,True,True,True,True,True,True,True,True,0.59,0.64,0.71,0.61,36,28,74,28,,,
-0.5,0.0,0.0,-0.5,0.0,0.0,-0.433,-0.01,-0.0,0.067,0.01,0.0,0.3,0.306,3.45,-10.0275,-1.79,0.007537,0.015075,0.5058,0.0759,0.7577,-3.46,-0.115,3.461910599654474,-0.001,0.0,-0.001,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,1,10.0,2.0,True,True,True,-15.06,-12.83,-7.95,-4.27,True,True,True,True,True,True,True,True,True,True,True,True,0.71,0.79,0.76,0.75,153,218,156,149,,,
0.0,0.3,0.0,0.0,0.3,0.0,-0.015,0.187,0.007,0.015,0.113,0.007,0.309,0.316,5.52,-8.6175,9.09,0.00401,0.008019,0.2105,0.0587,0.7812,-0.205,1.485,1.4990830530694423,0.055,0.0,0.055,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,2,10.0,2.0,False,True,False,-7.94,-15.46,-1.2,-9.87,True,False,True,True,True,True,True,True,True,True,,True,0.82,0.82,0.81,0.82,44,109,381,26,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.021,-0.19,0.017,0.021,0.11,0.017,0.311,0.32,4.24,-6.1825,8.89,0.003289,0.006577,0.2136,0.0636,0.6736,0.3,-1.497,1.5267642254126863,0.135,0.0,0.135,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,3,10.0,2.0,False,True,False,-11.48,-2.61,-8.16,-2.48,True,False,True,True,True,True,True,True,True,True,,True,0.82,0.85,0.79,0.8,48,178,40,196,True,,
0.0,0.0,0.5,0.0,0.0,0.5,-0.011,-0.006,0.474,0.011,0.006,0.026,0.309,0.319,9.16,-11.7325,13.42,0.002335,0.00467,0.0678,0.0618,0.7162,0.094,-0.007,0.09426027795418386,3.79,3.998,-0.208,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,4,10.0,2.0,True,True,True,-7.7,-19.44,-21.57,1.78,True,True,True,True,True,True,True,True,True,True,,True,0.91,0.97,0.94,0.8,46,32,46,52,,True,True
0.0,0.0,-0.5,0.0,0.0,-0.5,-0.005,-0.012,-0.437,0.005,0.012,0.063,0.311,0.32,4.88,-10.232500000000002,8.22,0.00194,0.003879,0.0493,0.0397,0.8889,-0.009,0.001,0.009055385138137416,-3.495,-3.998,0.503,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,5,10.0,2.0,False,True,False,-17.55,-3.94,-1.3,-18.14,True,True,True,True,True,True,True,True,True,True,,True,0.95,0.91,0.89,0.94,49,68,202,38,,True,False
0.5,0.2,0.4,0.5,0.2,0.4,0.481,0.199,0.37,0.019,0.001,0.03,0.324,0.334,4.03,-8.0975,4.54,0.011645,0.023291,0.6118,0.3531,1.4442,-2.463,1.367,2.8169234991387326,2.962,3.198,-0.236,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,6,10.0,2.0,True,True,True,-15.65,-9.5,-5.49,-1.75,True,True,True,True,True,True,True,True,True,True,,True,0.65,0.57,0.69,0.6,29,36,184,27,,,
-0.5,-0.2,-0.4,-0.5,-0.2,-0.4,-0.438,-0.139,-0.387,0.062,0.061,0.013,0.299,0.308,4.55,-8.055,3.02,0.007929,0.015859,0.5365,0.0951,0.702,1.067,2.124,2.3769444671678808,-3.096,-3.198,0.102,0,1600,0.0,0,0,1600,0.0,0,m14999,/tmp/himloco_mujoco_eval2.o7gEd5/model_14999,7,10.0,2.0,True,True,True,-13.17,-9.41,-7.2,-2.44,True,True,True,True,True,True,True,True,True,True,,True,0.71,0.8,0.71,0.81,90,308,89,264,,,
