command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,self_collision_contact_steps,self_collision_sample_steps,self_collision_mean_pairs,self_collision_max_pairs,illegal_ground_contact_steps,illegal_ground_sample_steps,illegal_ground_mean_pairs,illegal_ground_max_pairs,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/body_height_target,absolute_gates/self_collision,absolute_gates/illegal_ground_contact,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_vx_decoupled,absolute_gates/gait_transitions,absolute_gates/pure_vy_decoupled,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate
-1.0,0.0,0.0,-1.0,0.0,0.0,-0.913,-0.005,-0.011,0.087,0.005,0.011,0.281,0.284,2.5,-14.4575,-4.61,0.016287,0.032574,1.0991,0.3142,1.0585,-7.279,0.5,7.296152479218071,-0.088,0.0,-0.088,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,10,10.0,2.0,False,True,False,-19.25,-20.22,-8.26,-10.1,True,True,True,True,True,True,False,True,True,True,,,0.63,0.61,0.57,0.57,116,130,94,92,True,True,,,
0.0,0.1,0.0,0.0,0.1,0.0,0.007,0.005,-0.022,0.007,0.095,0.022,0.292,0.297,2.73,-8.575,4.97,0.00074,0.001479,0.0189,0.071,0.425,0.06,0.034,0.06896375859826667,-0.18,0.0,-0.18,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,11,10.0,2.0,False,True,False,-8.57,-11.18,-6.88,-7.67,True,False,True,True,True,True,False,True,True,True,,,1.0,0.98,0.95,0.26,0,4,14,3,,False,True,,
0.0,-0.1,0.0,0.0,-0.1,0.0,0.024,-0.036,-0.001,0.024,0.064,0.001,0.293,0.308,5.5,-6.345000000000001,11.85,0.001316,0.002632,0.064,0.0449,0.8424,0.206,-0.281,0.34842072269025565,-0.005,0.0,-0.005,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,12,10.0,2.0,True,True,True,-13.65,-4.41,-4.46,-2.86,True,True,True,True,True,True,True,True,True,True,,,0.95,0.94,0.55,0.85,26,112,10,48,,True,True,,
0.0,0.3,0.0,0.0,0.3,0.0,0.044,0.218,-0.006,0.044,0.082,0.006,0.308,0.311,4.0,-8.71,9.12,0.00494,0.009879,0.2461,0.0839,0.9226,0.401,1.731,1.7768404542895797,-0.046,0.0,-0.046,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,13,10.0,2.0,False,True,False,-10.72,-13.31,-3.59,-7.22,True,False,True,True,True,True,True,True,True,True,,,0.8,0.81,0.77,0.62,183,36,166,28,,True,True,,
0.0,-0.3,0.0,0.0,-0.3,0.0,0.052,-0.257,-0.005,0.052,0.043,0.005,0.315,0.318,4.91,-9.715,3.59,0.004547,0.009094,0.2748,0.1746,0.8654,0.362,-2.071,2.102399819254178,-0.038,0.0,-0.038,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,14,10.0,2.0,False,True,False,-12.62,-9.3,-8.14,-8.8,True,True,True,True,True,True,True,True,True,True,,,0.65,0.76,0.57,0.62,29,124,23,107,,True,False,,
0.0,0.6,0.0,0.0,0.6,0.0,0.053,0.493,-0.005,0.053,0.107,0.005,0.314,0.318,3.96,-6.5575,11.52,0.010624,0.021249,0.5291,0.1874,1.2108,0.496,3.936,3.967128936649274,-0.04,0.0,-0.04,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,15,10.0,2.0,False,True,False,-8.06,-9.19,-5.42,-3.56,True,False,True,True,True,True,True,True,True,True,,,0.74,0.68,0.67,0.55,200,32,98,34,,True,False,,
0.0,-0.6,0.0,0.0,-0.6,0.0,0.07,-0.502,0.005,0.07,0.098,0.005,0.327,0.331,4.35,-9.305,11.47,0.010215,0.020429,0.5358,0.3176,1.2519,0.708,-3.992,4.054297473052514,0.037,0.0,0.037,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,16,10.0,2.0,False,True,False,-11.32,-12.47,-6.17,-7.26,True,False,True,True,True,True,True,True,True,True,,,0.66,0.66,0.46,0.62,34,176,34,38,,True,False,,
0.0,1.0,0.0,0.0,1.0,0.0,0.064,0.826,-0.01,0.064,0.174,0.01,0.325,0.329,6.01,-6.31,23.52,0.019575,0.03915,0.8714,0.5872,1.5951,0.827,6.572,6.623829179560717,-0.076,0.0,-0.076,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,17,10.0,2.0,False,True,False,-11.08,-7.38,-8.33,1.55,True,False,True,True,True,True,True,True,True,True,,,0.67,0.56,0.6,0.49,112,42,54,42,,True,False,,
0.0,-1.0,0.0,0.0,-1.0,0.0,0.068,-0.795,-0.011,0.068,0.205,0.011,0.329,0.336,3.22,-7.984999999999999,24.45,0.022695,0.045391,0.841,0.6842,1.6892,-0.045,-6.374,6.374158846467508,-0.091,0.0,-0.091,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,18,10.0,2.0,False,True,False,-6.3,-13.47,-3.56,-8.61,True,False,True,True,True,True,True,True,True,True,,,0.57,0.61,0.42,0.55,39,132,51,39,,True,False,,
0.0,0.0,0.1,0.0,0.0,0.1,0.011,-0.003,0.068,0.011,0.003,0.032,0.299,0.303,3.38,-7.795000000000001,4.63,0.000539,0.001078,0.0222,0.012,0.0803,0.097,0.009,0.09741663102366044,0.546,0.8,-0.253,0,1600,0.0,0,0,1600,0.0,0,m11300,/tmp/himloco_mujoco_eval2.o7gEd5/model_11300,19,10.0,2.0,False,True,False,-5.8,-5.66,-13.49,-6.23,True,True,True,True,True,True,False,True,True,True,,,0.98,1.0,0.75,0.98,14,0,28,34,,False,,True,True
