command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,relative_gates/hip_mean,relative_gates/hip_max_preferred,relative_gates/action_delta,relative_gates/action_delta2,relative_gates/foot_slip,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate,absolute_gates/gait_transitions
0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.002,0.007,0.0,0.002,0.303,0.308,6.23,15.8475,29.28,0.000263,0.000525,0.0118,0.0,0.0,0.056,0.002,0.0560357029044876,0.012,0.0,0.012,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,0,10.0,2.0,False,True,False,21.85,22.6,8.87,10.07,True,True,True,True,True,True,False,False,False,True,True,True,True,True,1.0,1.0,1.0,1.0,0,0,0,0,,,
0.0,0.0,0.25,0.0,0.0,0.25,-0.0,-0.011,0.318,0.0,0.011,0.068,0.321,0.331,4.86,0.22499999999999998,8.45,0.007045,0.01409,0.1193,0.7054,1.4369,0.057,0.026,0.06264982043070834,2.546,1.999,0.547,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,1,10.0,2.0,False,True,False,-1.08,-1.67,-0.11,3.76,True,True,True,True,True,True,True,,,True,True,True,True,True,0.66,0.54,0.61,0.6,23,24,24,29,True,False,True
0.0,0.0,-0.25,0.0,0.0,-0.25,-0.001,0.011,-0.322,0.001,0.011,0.072,0.319,0.33,5.66,-0.01999999999999999,8.3,0.006961,0.013922,0.1209,0.6829,1.6198,0.06,-0.025,0.065,-2.574,-1.999,-0.575,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,2,10.0,2.0,False,True,False,-2.0,-1.21,3.48,-0.35,True,True,True,True,True,True,True,,,True,True,True,True,True,0.57,0.64,0.57,0.64,23,24,32,23,True,False,True
