command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,relative_gates/hip_mean,relative_gates/hip_max_preferred,relative_gates/action_delta,relative_gates/action_delta2,relative_gates/foot_slip,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate,absolute_gates/gait_transitions
0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.003,0.004,0.0,0.003,0.308,0.311,4.18,14.4025,25.27,0.000245,0.00049,0.0081,0.0,0.0,0.031,0.001,0.031016124838541645,0.021,0.0,0.021,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,0,10.0,2.0,False,True,False,18.83,19.67,8.93,10.18,True,True,True,True,True,True,False,True,False,True,True,True,True,True,1.0,1.0,1.0,1.0,0,0,0,0,,,
0.0,0.0,0.25,0.0,0.0,0.25,-0.003,-0.011,0.32,0.003,0.011,0.07,0.323,0.332,4.53,0.07999999999999996,8.19,0.007434,0.014868,0.1049,0.7618,1.5847,0.063,0.013,0.06432728814430155,2.56,1.999,0.561,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,1,10.0,2.0,False,True,False,-1.35,-2.02,-0.14,3.83,True,True,True,True,True,True,True,,,True,True,True,True,True,0.63,0.53,0.6,0.58,23,24,24,23,True,False,True
0.0,0.0,-0.25,0.0,0.0,-0.25,-0.002,0.012,-0.327,0.002,0.012,0.077,0.322,0.332,4.97,-0.1099999999999999,7.46,0.007124,0.014248,0.108,0.7552,1.5362,0.068,-0.021,0.07116881339463235,-2.611,-1.999,-0.612,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,2,10.0,2.0,False,True,False,-2.09,-1.38,3.43,-0.4,True,True,True,True,True,True,True,,,True,True,True,True,True,0.56,0.63,0.55,0.63,23,24,26,23,True,False,True
