command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,relative_gates/hip_mean,relative_gates/hip_max_preferred,relative_gates/action_delta,relative_gates/action_delta2,relative_gates/foot_slip,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate,absolute_gates/gait_transitions
0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.003,0.002,0.0,0.003,0.309,0.313,3.37,13.642500000000002,23.26,0.000239,0.000477,0.0066,0.0,0.0,0.02,0.001,0.020024984394500785,0.025,0.0,0.025,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,0,10.0,2.0,False,True,False,17.41,18.32,8.82,10.02,True,True,True,True,True,True,False,True,False,True,True,True,True,True,1.0,1.0,1.0,1.0,0,0,0,0,,,
0.0,0.0,0.25,0.0,0.0,0.25,-0.002,-0.012,0.322,0.002,0.012,0.072,0.324,0.333,4.58,0.007500000000000062,7.87,0.007522,0.015044,0.1077,0.7678,1.5915,0.067,0.018,0.06937578828380979,2.571,1.999,0.572,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,1,10.0,2.0,False,True,False,-1.38,-2.04,-0.23,3.68,True,True,True,True,True,True,True,,,True,True,True,True,True,0.62,0.52,0.59,0.57,23,23,26,23,True,False,True
0.0,0.0,-0.25,0.0,0.0,-0.25,-0.001,0.012,-0.328,0.001,0.012,0.078,0.323,0.333,5.32,-0.1925,7.37,0.007297,0.014595,0.112,0.7596,1.5911,0.067,-0.024,0.07116881339463235,-2.62,-1.999,-0.621,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,2,10.0,2.0,False,True,False,-2.15,-1.44,3.3,-0.48,True,True,True,True,True,True,True,,,True,True,True,True,True,0.55,0.62,0.54,0.62,23,24,28,23,True,False,True
