command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,relative_gates/hip_mean,relative_gates/hip_max_preferred,relative_gates/action_delta,relative_gates/action_delta2,relative_gates/foot_slip,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate,absolute_gates/gait_transitions
0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.001,0.0,0.002,0.311,0.315,2.61,12.71,21.19,0.000231,0.000462,0.0053,0.0,0.0,0.01,0.001,0.01004987562112089,0.018,0.0,0.018,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,0,10.0,2.0,False,True,False,15.8,16.77,8.55,9.72,True,True,True,True,True,True,False,True,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0,0,0,0,,,
0.0,0.0,0.25,0.0,0.0,0.25,-0.002,-0.011,0.324,0.002,0.011,0.074,0.325,0.334,4.48,-0.04500000000000004,7.63,0.007618,0.015236,0.1043,0.6716,1.5683,0.063,0.017,0.0652533524043018,2.587,1.999,0.589,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,1,10.0,2.0,False,True,False,-1.43,-2.1,-0.29,3.64,True,True,True,True,True,True,True,,,True,True,True,True,True,0.62,0.52,0.59,0.57,25,26,26,33,True,False,True
0.0,0.0,-0.25,0.0,0.0,-0.25,-0.002,0.012,-0.329,0.002,0.012,0.079,0.324,0.333,5.15,-0.2575,7.0,0.007325,0.014649,0.108,0.7223,1.5848,0.07,-0.023,0.07368174807915459,-2.628,-1.999,-0.63,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,2,10.0,2.0,False,True,False,-2.2,-1.5,3.22,-0.55,True,True,True,True,True,True,True,,,True,True,True,True,True,0.55,0.61,0.53,0.61,23,24,34,23,True,False,True
