command_vx,command_vy,command_wz,policy_command_vx,policy_command_vy,policy_command_wz,measured_vx,measured_vy,measured_wz,error_vx,error_vy,error_wz,min_height_m,mean_height_m,max_tilt_deg,hip_outward_mean_deg,hip_outward_max_deg,action_delta,action_delta2,foot_slip_m_s,foot_impact_mean_m_s,foot_impact_max_m_s,world_displacement_x_m,world_displacement_y_m,world_displacement_m,yaw_integral_measured_rad,yaw_integral_requested_rad,yaw_integral_bias_rad,candidate,candidate_path,command_index,duration_s,warmup_s,passes_absolute,passes_relative,passes_all,hip_outward_mean_fr_deg,hip_outward_mean_fl_deg,hip_outward_mean_rr_deg,hip_outward_mean_rl_deg,absolute_gates/vx,absolute_gates/vy,absolute_gates/wz,absolute_gates/height,absolute_gates/tilt,absolute_gates/not_fallen,absolute_gates/hip_outward,absolute_gates/standing_height,absolute_gates/standing_tilt,relative_gates/hip_mean,relative_gates/hip_max_preferred,relative_gates/action_delta,relative_gates/action_delta2,relative_gates/foot_slip,contact_duty_per_leg/fr,contact_duty_per_leg/fl,contact_duty_per_leg/rr,contact_duty_per_leg/rl,contact_transitions_per_leg/fr,contact_transitions_per_leg/fl,contact_transitions_per_leg/rr,contact_transitions_per_leg/rl,absolute_gates/pure_yaw_xy_drift,absolute_gates/pure_yaw_integral_bias_rate,absolute_gates/gait_transitions
0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.002,0.0,0.002,0.311,0.315,2.74,12.77,21.49,0.000231,0.000462,0.0055,0.0,0.0,0.012,0.001,0.012041594578792296,0.02,0.0,0.02,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,0,10.0,2.0,False,True,False,16.0,16.97,8.46,9.65,True,True,True,True,True,True,False,True,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0,0,0,0,,,
0.0,0.0,0.25,0.0,0.0,0.25,-0.002,-0.012,0.323,0.002,0.012,0.073,0.325,0.334,4.75,-0.07499999999999996,7.49,0.007642,0.015283,0.1047,0.6292,1.6036,0.066,0.018,0.06841052550594828,2.581,1.999,0.583,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,1,10.0,2.0,False,True,False,-1.45,-2.14,-0.32,3.61,True,True,True,True,True,True,True,,,True,True,True,True,True,0.61,0.52,0.58,0.56,29,25,30,31,True,False,True
0.0,0.0,-0.25,0.0,0.0,-0.25,-0.002,0.012,-0.331,0.002,0.012,0.081,0.325,0.334,5.05,-0.2899999999999999,6.96,0.00741,0.01482,0.1099,0.6357,1.5914,0.069,-0.024,0.07305477397131553,-2.644,-1.999,-0.645,A2_1350,/home/hsc/Dog_RL/custom_dog_stack/logs/rsl_rl/custom_dog_velocity/2026-08-14_17-53-06_closed_loop_a2_yaw_boundary_standing_band/evaluation/candidates/model_1350,2,10.0,2.0,False,True,False,-2.27,-1.53,3.22,-0.58,True,True,True,True,True,True,True,,,True,True,True,True,True,0.54,0.61,0.53,0.61,29,28,38,29,True,False,True
